country,pc1,pc2,cluster
Afghanistan,0.178775,-0.081219,4
Albania,0.104502,-0.238779,0
Algeria,0.315407,0.188350,5
American Samoa,-0.194289,-0.070947,1
Andorra,-0.006490,-0.109597,0
Angola,0.199047,0.299333,2
Anguilla,-0.290373,0.079239,6
Antarctica,-0.020956,-0.007368,1
Antigua and Barbuda,-0.175660,0.281851,2
Argentina,0.159226,-0.115335,1
Armenia,0.075706,-0.064075,0
Aruba,-0.113836,0.157481,6
Australia,0.180873,-0.233418,4
Austria,0.255948,-0.258908,0
Azerbaijan,0.266628,-0.144462,0
Bahamas,-0.250689,0.026730,3
Bahrain,0.127627,-0.119437,5
Bangladesh,0.256911,0.040699,7
Barbados,-0.157277,0.191750,1
Belarus,0.207639,-0.236737,0
Belgium,0.166899,-0.105143,0
Belize,-0.102245,0.064463,1
Benin,0.090588,0.280056,2
Bermuda,-0.316820,0.009610,3
Bhutan,0.173282,0.136877,7
Bolivia,0.137861,0.061314,1
"Bonaire, Sint Eustatius and Saba",-0.408683,0.194911,6
Bosnia and Herzegovina,0.153505,-0.123777,0
Botswana,0.188472,0.312041,2
Bouvet Island,-0.503215,-0.054758,3
Brazil,0.255496,-0.126237,4
British Indian Ocean Territory,-0.330067,0.043464,3
Brunei Darussalam,0.038996,0.064360,7
Bulgaria,0.204355,-0.212924,0
Burkina Faso,0.157991,0.319171,2
Burundi,0.195840,0.305956,2
Cabo Verde,-0.177299,0.225357,6
Cambodia,0.190533,0.014560,7
Cameroon,0.209324,0.321740,2
Canada,0.111799,-0.187689,4
Cayman Islands,-0.388230,-0.182551,3
Central African Republic,0.165619,0.435210,2
Chad,0.114315,0.216386,2
Chile,0.002899,-0.076587,1
China,0.248886,-0.178383,4
Christmas Island,-0.507280,-0.098038,3
Cocos (Keeling) Islands,-0.614128,0.007439,3
Colombia,0.055738,0.040200,1
Comoros,-0.190862,0.044267,6
Congo,0.110592,0.411057,2
"Congo, The Democratic Republic of the",0.067502,0.394999,2
Cook Islands,-0.602723,-0.080964,3
Costa Rica,-0.018868,-0.005545,1
Croatia,0.172393,-0.286101,0
Cuba,0.017594,-0.092341,1
Curaçao,-0.112052,0.222658,6
Cyprus,-0.023434,-0.256148,0
Czechia,0.159980,-0.111334,0
Côte d'Ivoire,0.143379,0.329127,2
Denmark,0.161554,-0.231271,0
Djibouti,-0.114333,0.083305,6
Dominica,-0.181853,0.045531,1
Dominican Republic,-0.109269,-0.040989,1
Ecuador,0.066716,-0.082899,1
Egypt,0.313959,0.087517,5
El Salvador,0.029303,0.087232,1
Equatorial Guinea,0.011793,0.339405,2
Eritrea,0.084452,0.165527,2
Estonia,0.059655,-0.349220,0
Eswatini,-0.161183,0.093502,6
Ethiopia,0.222918,0.325110,2
Falkland Islands (Malvinas),-0.492681,-0.046787,3
Faroe Islands,-0.480585,-0.036761,3
Fiji,-0.173074,-0.007483,3
Finland,0.066086,-0.290610,0
France,0.185032,-0.169853,0
French Guiana,-0.157790,0.209582,1
French Polynesia,-0.340167,-0.029080,3
French Southern Territories,-0.214793,0.016858,3
Gabon,0.184965,0.362989,2
Gambia,0.141257,0.367224,2
Georgia,0.139719,-0.037899,4
Germany,0.362204,-0.294804,0
Ghana,0.284055,0.190593,2
