pc1,pc2
3.574292361736297607e-01,-1.213285475969314575e-01
3.031746745109558105e-01,-8.802653849124908447e-02
3.302185535430908203e-01,1.993898749351501465e-01
-1.991767734289169312e-01,-1.953438073396682739e-01
-1.480519622564315796e-01,2.035300619900226593e-02
3.172262609004974365e-01,3.360885083675384521e-01
-5.560287237167358398e-01,1.243202611804008484e-01
-2.920668721199035645e-01,-9.230941534042358398e-02
-3.800127506256103516e-01,-1.186988432891666889e-03
1.350929737091064453e-01,-1.929246485233306885e-01
2.475458383560180664e-01,-6.217490136623382568e-02
-3.936600089073181152e-01,6.091160327196121216e-02
4.996775649487972260e-03,-2.766335308551788330e-01
1.926252692937850952e-01,-3.505262732505798340e-01
2.256258577108383179e-01,-6.383398920297622681e-02
-3.648620545864105225e-01,-2.603337401524186134e-03
1.362457722425460815e-01,1.489869412034749985e-02
2.037174701690673828e-01,1.135183870792388916e-01
-3.911488354206085205e-01,8.750617504119873047e-02
3.105972111225128174e-01,-1.310227364301681519e-01
1.878218650817871094e-01,-2.266038954257965088e-01
-2.778007686138153076e-01,1.814804673194885254e-01
1.294309943914413452e-01,4.751779735088348389e-01
-4.190180003643035889e-01,-5.044047906994819641e-02
8.224167674779891968e-02,2.275653630495071411e-01
1.355901211500167847e-01,1.331061571836471558e-01
-4.449726343154907227e-01,1.848476193845272064e-02
2.375320494174957275e-01,-2.194188386201858521e-01
1.905057877302169800e-01,4.685795903205871582e-01
-5.463571548461914062e-01,-5.659199506044387817e-02
2.179756015539169312e-01,-1.333275735378265381e-01
-1.542800366878509521e-01,-2.882593870162963867e-01
-4.054969549179077148e-02,1.532446593046188354e-01
3.202335238456726074e-01,-2.175261676311492920e-01
1.450599282979965210e-01,4.583709836006164551e-01
2.819966077804565430e-01,4.528042078018188477e-01
-2.375110834836959839e-01,2.543374598026275635e-01
2.882886230945587158e-01,1.306756138801574707e-01
1.660658121109008789e-01,3.225752711296081543e-01
-2.096433378756046295e-02,-2.891042828559875488e-01
-6.080160737037658691e-01,-8.831678330898284912e-02
2.332694828510284424e-01,-9.865549951791763306e-02
1.327920556068420410e-01,2.971347570419311523e-01
8.723504096269607544e-02,-5.005258321762084961e-02
2.562047541141510010e-01,-2.660565376281738281e-01
-3.804848492145538330e-01,-2.899829149246215820e-01
-6.185275912284851074e-01,7.176738232374191284e-03
1.677145063877105713e-01,-3.919496014714241028e-02
-2.082747817039489746e-01,4.226204156875610352e-01
2.993779182434082031e-01,3.726598620414733887e-01
2.327583283185958862e-01,-2.053838074207305908e-01
-4.932666122913360596e-01,-1.936811506748199463e-01
-1.203506719321012497e-02,2.588791213929653168e-02
2.237320542335510254e-01,-2.322639375925064087e-01
7.016602158546447754e-02,-1.444277614355087280e-01
-4.522132277488708496e-01,9.121324121952056885e-02
8.006872981786727905e-02,-2.126233130693435669e-01
-4.295831918716430664e-02,1.649576425552368164e-01
8.567806333303451538e-02,4.344103634357452393e-01
1.022467687726020813e-01,-2.934419214725494385e-01
6.656552851200103760e-02,4.609150886535644531e-01
-4.640160501003265381e-01,2.313169687986373901e-01
1.827355287969112396e-02,-8.117211610078811646e-02
1.100147664546966553e-01,8.486413210630416870e-02
4.058449566364288330e-01,-3.422537073493003845e-02
2.033087657764554024e-03,4.486420005559921265e-02
