pc1,pc2
3.817713558673858643e-01,8.654619008302688599e-02
2.367035597562789917e-01,-1.269659399986267090e-01
1.955464035272598267e-01,-1.162933856248855591e-01
-5.638021230697631836e-02,-1.118092983961105347e-01
-1.278857737779617310e-01,-3.620500490069389343e-02
9.209810942411422729e-02,-1.952083408832550049e-01
-2.453260570764541626e-01,6.697227060794830322e-02
-3.508801385760307312e-02,-2.758126705884933472e-02
-2.998392879962921143e-01,-1.571983397006988525e-01
1.340245604515075684e-01,-2.236764691770076752e-02
1.565136015415191650e-01,-1.512434929609298706e-01
2.509485557675361633e-02,-7.075466960668563843e-02
1.833159178495407104e-01,1.986616291105747223e-02
2.293189316987991333e-01,-4.740849137306213379e-02
3.082798421382904053e-01,3.705519717186689377e-03
5.512373521924018860e-02,-1.987838372588157654e-02
1.943397074937820435e-01,-4.909416288137435913e-02
2.396571487188339233e-01,-3.918397799134254456e-02
-7.303331792354583740e-02,-1.800242960453033447e-01
1.077448874711990356e-01,-1.590123623609542847e-01
1.120957359671592712e-01,-1.286254227161407471e-01
-9.908158332109451294e-02,-1.266104876995086670e-01
2.123651653528213501e-02,-1.250104606151580811e-01
-1.417085677385330200e-01,-2.589259762316942215e-03
2.204829603433609009e-01,4.377288371324539185e-02
2.494368888437747955e-02,-8.662952482700347900e-02
-1.857912391424179077e-01,-1.024637967348098755e-01
-6.191208958625793457e-02,-2.539664208889007568e-01
-3.973452746868133545e-02,-1.634771078824996948e-01
-4.313012957572937012e-01,-5.604027584195137024e-02
1.961911320686340332e-01,-1.076619178056716919e-01
-2.539345324039459229e-01,-1.213496327400207520e-01
6.898263096809387207e-02,-5.484310537576675415e-02
2.046296745538711548e-01,-1.411478668451309204e-01
1.288318261504173279e-02,-6.075900420546531677e-02
-2.837787568569183350e-02,-1.301043778657913208e-01
-1.291453391313552856e-01,5.929003655910491943e-02
1.749256253242492676e-01,-9.098006039857864380e-02
8.312155306339263916e-02,-9.599162638187408447e-02
1.835640817880630493e-01,-4.056855291128158569e-02
-4.323616325855255127e-01,-5.187654122710227966e-02
-1.823680400848388672e-01,-1.484648436307907104e-01
-3.018854558467864990e-02,1.641609519720077515e-01
-1.853801868855953217e-02,4.042179509997367859e-02
3.693659976124763489e-02,2.367165312170982361e-02
-3.211953639984130859e-01,-8.812300860881805420e-02
-4.677026569843292236e-01,-1.124507486820220947e-01
1.222333908081054688e-01,-1.518870443105697632e-01
-5.736147239804267883e-02,5.978148579597473145e-01
5.049055069684982300e-02,-5.830381810665130615e-02
-3.609605729579925537e-01,-8.462088555097579956e-02
-4.155368506908416748e-01,-3.315649554133415222e-02
-4.494272172451019287e-02,1.328854355961084366e-02
2.095294296741485596e-01,-1.216678470373153687e-01
2.051595747470855713e-01,-2.923239953815937042e-02
-2.588828802108764648e-01,-1.291006710380315781e-02
1.449948996305465698e-01,-5.125733092427253723e-02
-5.736147239804267883e-02,5.978148579597473145e-01
-1.863992661237716675e-01,4.689400792121887207e-01
1.321845054626464844e-01,-1.365492194890975952e-01
-5.736147239804267883e-02,5.978148579597473145e-01
-1.994313597679138184e-01,-6.497213989496231079e-02
-2.014896720647811890e-01,-7.623732089996337891e-02
1.279561966657638550e-01,-1.115222126245498657e-01
3.670649230480194092e-01,5.344504863023757935e-02
2.361200749874114990e-02,3.239322006702423096e-01
-2.968367934226989746e-01,1.346226483583450317e-01
1.024743095040321350e-01,-4.463358223438262939e-02
1.500978469848632812e-01,-1.305299550294876099e-01
-5.736147239804267883e-02,5.978148579597473145e-01
2.137745916843414307e-01,-1.447483748197555542e-01
-3.150327801704406738e-01,-1.839485615491867065e-01
-4.738563895225524902e-01,-4.203578829765319824e-02
2.224253267049789429e-01,1.594146192073822021e-01
9.490308910608291626e-02,-2.069735229015350342e-01
1.230969205498695374e-01,-2.435033582150936127e-02
-1.546776443719863892e-01,5.472198873758316040e-02
-1.777347326278686523e-01,-1.309664845466613770e-01
-2.623418271541595459e-01,-1.381664723157882690e-01
-5.736147239804267883e-02,5.978148579597473145e-01
3.644098993390798569e-03,-1.967695504426956177e-01
2.179982215166091919e-01,-5.217071250081062317e-02
1.663936078548431396e-01,1.514522079378366470e-02
2.267426997423171997e-01,2.153017930686473846e-02
-5.659954249858856201e-02,-1.036262959241867065e-01
1.890844255685806274e-01,-1.191133782267570496e-01
-7.818090915679931641e-02,-1.692169457674026489e-01
3.731506003532558680e-04,-1.529110223054885864e-01
-5.736147239804267883e-02,5.978148579597473145e-01
-4.556728526949882507e-02,-6.296761333942413330e-02
3.741125017404556274e-02,-1.239664386957883835e-02
-2.821545004844665527e-01,1.978249847888946533e-01
-2.598819434642791748e-01,2.595132291316986084e-01
-2.598819434642791748e-01,2.595132291316986084e-01
-4.375942423939704895e-02,-1.765322983264923096e-01
1.112624853849411011e-01,2.385353110730648041e-02
-4.418963193893432617e-01,-1.571761518716812134e-01
-3.242067694664001465e-01,-6.534072756767272949e-02
