pc1,pc2
-1.516684144735336304e-01,-8.344251662492752075e-03
-2.598887681961059570e-01,2.493801862001419067e-01
-9.709884226322174072e-02,-2.247151359915733337e-02
2.466001510620117188e-01,1.288545876741409302e-01
1.616130620241165161e-01,7.111728936433792114e-02
-4.201693460345268250e-02,-5.095648579299449921e-03
3.137530088424682617e-01,9.651809930801391602e-02
-5.308995395898818970e-02,-7.366776466369628906e-02
6.086786985397338867e-01,1.557811498641967773e-01
-1.569487005472183228e-01,1.618934273719787598e-01
-1.530106365680694580e-01,1.037210449576377869e-01
1.559411734342575073e-01,-1.875907629728317261e-01
-1.928198337554931641e-01,-8.306042850017547607e-02
-2.553743124008178711e-01,3.978552296757698059e-02
-2.053725570440292358e-01,2.362632751464843750e-01
-2.947467565536499023e-01,2.507381439208984375e-01
-1.478254199028015137e-01,3.051239550113677979e-01
-1.285365372896194458e-01,-3.321709856390953064e-02
-3.156170845031738281e-01,2.461826503276824951e-01
-1.674814820289611816e-01,-2.493229508399963379e-02
-1.859235018491744995e-01,-5.478136241436004639e-02
-2.259603738784790039e-01,6.269095093011856079e-02
-1.821165382862091064e-01,-2.219351679086685181e-01
-2.211665213108062744e-01,1.520213335752487183e-01
-2.891225814819335938e-01,1.904413402080535889e-01
-1.213034242391586304e-01,-6.462088227272033691e-02
5.449119210243225098e-01,-8.973449468612670898e-02
4.241378307342529297e-01,5.369532387703657150e-03
-2.310630530118942261e-01,-1.296567022800445557e-01
4.174892604351043701e-01,-6.687403470277786255e-02
-2.332524508237838745e-01,1.945570409297943115e-01
3.955617547035217285e-01,-8.022043108940124512e-02
4.043960273265838623e-01,5.487933754920959473e-02
-1.665920466184616089e-01,2.228455394506454468e-01
1.822725087404251099e-01,-1.873902529478073120e-01
-1.860957294702529907e-01,-2.275954931974411011e-01
1.495421677827835083e-01,-1.872573047876358032e-01
-2.250263243913650513e-01,1.935822367668151855e-01
-1.330497562885284424e-01,1.072479411959648132e-01
-3.128509819507598877e-01,1.192132160067558289e-01
3.441300243139266968e-02,1.530746221542358398e-01
3.903474509716033936e-01,-6.590774655342102051e-02
-2.495599240064620972e-01,-2.609890997409820557e-01
-2.615001797676086426e-01,1.885225474834442139e-01
-1.858766973018646240e-01,-1.567982435226440430e-01
1.636852025985717773e-01,1.830440945923328400e-03
3.572856783866882324e-01,5.668164417147636414e-02
-1.876449584960937500e-01,-1.737839877605438232e-01
9.963025152683258057e-02,-5.940247327089309692e-02
-1.850645542144775391e-01,-3.706983327865600586e-01
4.500397741794586182e-01,1.433942187577486038e-02
3.542921245098114014e-01,9.017718583345413208e-02
2.361461818218231201e-01,-1.340682357549667358e-01
-1.130396798253059387e-01,3.476049005985260010e-02
-1.836818605661392212e-01,-3.294461593031883240e-02
