pc1,pc2
2.810167074203491211e-01,-3.886643052101135254e-02
1.000954285264015198e-01,-5.127033591270446777e-02
-4.096237197518348694e-02,-1.802400946617126465e-01
-7.669244706630706787e-02,1.141105592250823975e-01
1.011096537113189697e-01,9.157922118902206421e-02
-1.480263285338878632e-02,-2.874218821525573730e-01
-2.640341818332672119e-01,7.363685965538024902e-02
2.410655170679092407e-01,9.030096232891082764e-02
-2.607619464397430420e-01,-1.412670593708753586e-02
2.256176024675369263e-01,-1.707775741815567017e-01
2.793051898479461670e-01,1.476325094699859619e-01
-2.556433677673339844e-01,4.384869337081909180e-02
6.218687444925308228e-02,8.573868125677108765e-02
3.666172027587890625e-01,1.262567043304443359e-01
3.851227164268493652e-01,6.292765587568283081e-02
-4.129744768142700195e-01,-1.416349690407514572e-02
-1.495401263236999512e-01,1.762138903141021729e-01
3.958604484796524048e-02,-2.380078881978988647e-01
-2.560304999351501465e-01,-5.960461869835853577e-02
2.261573076248168945e-01,8.193567395210266113e-02
2.044291943311691284e-01,-8.622328750789165497e-03
-1.015696004033088684e-01,-9.244254976511001587e-02
9.217973053455352783e-02,-2.037659734487533569e-01
-3.179866373538970947e-01,-8.408787101507186890e-02
2.206950485706329346e-01,-1.651400700211524963e-02
2.603309452533721924e-01,-1.440458446741104126e-01
-2.286342233419418335e-01,1.465448550879955292e-02
2.424268424510955811e-01,-2.791077084839344025e-02
6.170831248164176941e-02,-3.210798203945159912e-01
-2.623899877071380615e-01,1.089800447225570679e-01
5.139794573187828064e-02,-2.345205545425415039e-01
-1.781838536262512207e-01,1.694672256708145142e-01
-8.468513935804367065e-02,-1.579361408948898315e-02
2.196985483169555664e-01,2.311533875763416290e-02
7.669095695018768311e-02,-3.498170375823974609e-01
1.361972391605377197e-01,-2.656947970390319824e-01
-1.354624181985855103e-01,-1.695223897695541382e-01
1.196795422583818436e-02,-2.580691501498222351e-02
4.132474958896636963e-02,-2.673502862453460693e-01
2.524597942829132080e-01,4.360145330429077148e-02
-3.268925845623016357e-01,1.370897144079208374e-01
-7.543392479419708252e-02,-3.709737360477447510e-01
1.098475083708763123e-01,-8.056583255529403687e-02
9.365051239728927612e-02,-8.468950539827346802e-02
9.960078448057174683e-02,6.807798892259597778e-02
-2.735562156885862350e-04,3.269741535186767578e-01
-4.073039293289184570e-01,9.951920807361602783e-02
7.457915227860212326e-03,-1.347415298223495483e-01
-8.932234346866607666e-02,-5.744331330060958862e-02
7.208825647830963135e-02,-3.625315129756927490e-01
4.786195605993270874e-02,-3.599529266357421875e-01
-5.835084244608879089e-02,1.363850682973861694e-01
-1.237513795495033264e-01,1.583651266992092133e-02
1.145573705434799194e-01,3.324001654982566833e-02
-3.314750194549560547e-01,-5.551357567310333252e-02
-3.251143097877502441e-01,3.632441163063049316e-02
-6.424415111541748047e-02,1.278954278677701950e-02
2.830804586410522461e-01,7.102678716182708740e-02
9.099043160676956177e-02,-2.578420341014862061e-01
1.307778805494308472e-01,2.791637778282165527e-01
-1.539867520332336426e-01,-1.373724043369293213e-01
-1.571034938097000122e-01,5.589609220623970032e-02
-2.173321396112442017e-01,-6.891652941703796387e-02
1.019654348492622375e-01,-3.338658809661865234e-02
8.082505315542221069e-02,-1.440370678901672363e-01
-6.850923597812652588e-02,-1.381440646946430206e-02
-4.669110849499702454e-02,-1.784415692090988159e-01
1.216916590929031372e-01,-1.054637581110000610e-01
1.056567206978797913e-01,1.709731519222259521e-01
2.889874204993247986e-02,-6.438345462083816528e-02
1.158459931612014771e-01,-3.996362388134002686e-01
-2.737893722951412201e-02,1.338275820016860962e-01
-9.746243059635162354e-02,3.892033696174621582e-01
-2.685170769691467285e-01,-5.847235023975372314e-02
3.088639080524444580e-01,1.864690929651260376e-01
-5.606893915683031082e-03,-2.857704646885395050e-02
-1.787363439798355103e-01,-1.566837877035140991e-01
-2.026673406362533569e-01,5.427003651857376099e-02
-1.104857623577117920e-01,-2.405588477849960327e-01
6.559832952916622162e-03,-1.874173581600189209e-01
1.210987754166126251e-02,-2.390062510967254639e-01
-4.724271595478057861e-02,-1.031846627593040466e-01
3.117678165435791016e-01,6.329366564750671387e-02
2.370681613683700562e-02,-1.852965503931045532e-01
-5.466385185718536377e-02,1.396228224039077759e-01
-3.885203273966908455e-03,1.177604645490646362e-01
1.647147536277770996e-01,2.327062338590621948e-01
-3.189105987548828125e-01,-8.462236076593399048e-02
-3.503614366054534912e-01,-4.463745653629302979e-02
-1.157306432723999023e-01,2.082276344299316406e-01
7.168839871883392334e-02,-2.567201294004917145e-02
-1.321637332439422607e-01,9.740112721920013428e-02
-3.142993664368987083e-03,-1.453065276145935059e-01
-4.216799885034561157e-02,-2.629184424877166748e-01
-2.383707016706466675e-01,-1.118272840976715088e-01
-1.364686191082000732e-01,-2.315785586833953857e-01
-5.176695063710212708e-02,1.024234667420387268e-02
1.348983645439147949e-01,1.447921544313430786e-01
-5.335257202386856079e-02,7.853209972381591797e-03
-8.879864960908889771e-02,1.486725956201553345e-01
3.503311872482299805e-01,-1.693848404102027416e-03
2.433054596185684204e-01,1.872282624244689941e-01
1.455050557851791382e-01,7.011574506759643555e-02
-9.253367036581039429e-02,4.686016589403152466e-02
2.211050093173980713e-01,1.476734429597854614e-01
2.555512785911560059e-01,1.322747915983200073e-01
1.273033171892166138e-01,1.170726642012596130e-01
-4.694130271673202515e-02,1.352310329675674438e-01
7.658268511295318604e-02,9.792890399694442749e-02
1.413048058748245239e-01,-3.458388149738311768e-03
-3.205487728118896484e-01,-5.978532880544662476e-02
1.402797102928161621e-01,1.317264735698699951e-01
1.239093206822872162e-02,6.133531033992767334e-02
9.081986546516418457e-02,1.325647532939910889e-01
3.312866389751434326e-01,5.062484368681907654e-02
-7.317109405994415283e-02,-2.476788908243179321e-01
-2.346369028091430664e-01,2.016318887472152710e-01
9.649155661463737488e-03,1.433236300945281982e-01
2.795367836952209473e-01,9.087764471769332886e-02
4.726345092058181763e-02,7.262087892740964890e-03
1.310807168483734131e-01,1.959950476884841919e-01
5.364916101098060608e-02,2.863962762057781219e-02
1.002088841050863266e-02,-2.577020227909088135e-01
2.008647657930850983e-02,-2.862746715545654297e-01
8.532515168190002441e-02,-1.934881955385208130e-01
1.840200126171112061e-01,2.048977017402648926e-01
4.174096509814262390e-02,2.137930095195770264e-01
-4.588199779391288757e-03,6.019519641995429993e-02
-1.297378987073898315e-01,-9.162865579128265381e-03
-1.518012285232543945e-01,-2.402601391077041626e-01
-5.898827686905860901e-02,-4.584545791149139404e-01
-1.785248890519142151e-02,1.697472929954528809e-01
-2.358798682689666748e-01,1.283726692199707031e-01
-2.830395661294460297e-02,-3.324311375617980957e-01
-1.417080610990524292e-01,7.496042549610137939e-02
-1.932943910360336304e-01,9.016321599483489990e-02
-2.668809890747070312e-01,-4.268119856715202332e-02
-1.110513061285018921e-01,-2.084726989269256592e-01
-2.723646461963653564e-01,-9.488811343908309937e-02
-4.279236495494842529e-02,-1.444675028324127197e-01
1.196645721793174744e-01,1.607413589954376221e-01
-2.059666216373443604e-01,4.019364342093467712e-02
3.027883470058441162e-01,-3.088104724884033203e-02
1.634356379508972168e-02,1.239109262824058533e-01
3.779014647006988525e-01,1.245098114013671875e-01
1.563531458377838135e-01,2.105643153190612793e-01
-1.405983511358499527e-02,1.254433244466781616e-01
-3.109939768910408020e-02,-1.342002153396606445e-01
-2.292410098016262054e-02,-3.855550587177276611e-01
1.629570126533508301e-01,-6.251209229230880737e-02
1.023456230759620667e-01,-2.798847258090972900e-01
-1.548562347888946533e-01,5.262961983680725098e-02
1.817827969789505005e-01,9.820855408906936646e-02
-3.733662515878677368e-02,1.235796287655830383e-01
-1.024294942617416382e-01,1.357662975788116455e-01
-2.034762315452098846e-02,2.197171747684478760e-01
-1.269425451755523682e-01,2.143122255802154541e-02
1.817667037248611450e-01,-2.527955472469329834e-01
1.485938131809234619e-01,-2.708896100521087646e-01
-1.577416360378265381e-01,9.580423682928085327e-02
-1.786594837903976440e-01,2.809090018272399902e-01
3.937598764896392822e-01,2.207205295562744141e-01
3.147979974746704102e-01,2.139849215745925903e-01
5.666178092360496521e-02,3.381142914295196533e-01
2.998853921890258789e-01,1.781171113252639771e-01
-2.423027344048023224e-02,8.314231038093566895e-02
1.773476451635360718e-01,-1.138986088335514069e-02
-1.755043268203735352e-01,2.225560545921325684e-01
-1.912411488592624664e-02,1.153417155146598816e-01
-2.272775024175643921e-01,2.142572589218616486e-02
-1.829725690186023712e-02,7.641296088695526123e-02
1.601484864950180054e-01,-2.068611532449722290e-01
7.929576933383941650e-02,-1.337221711874008179e-01
-7.397305965423583984e-02,1.617372184991836548e-01
