pc1,pc2
1.787746995687484741e-01,-8.121882379055023193e-02
1.045019179582595825e-01,-2.387785464525222778e-01
3.154066801071166992e-01,1.883502751588821411e-01
-1.942888498306274414e-01,-7.094740867614746094e-02
-6.489665713161230087e-03,-1.095969527959823608e-01
1.990472972393035889e-01,2.993330359458923340e-01
-2.903726696968078613e-01,7.923940569162368774e-02
-2.095613628625869751e-02,-7.367548067122697830e-03
-1.756604760885238647e-01,2.818506062030792236e-01
1.592264026403427124e-01,-1.153348982334136963e-01
7.570648193359375000e-02,-6.407503783702850342e-02
-1.138356924057006836e-01,1.574812084436416626e-01
1.808726489543914795e-01,-2.334183007478713989e-01
2.559477686882019043e-01,-2.589083313941955566e-01
2.666276991367340088e-01,-1.444617658853530884e-01
-2.506893575191497803e-01,2.673013694584369659e-02
1.276270896196365356e-01,-1.194365322589874268e-01
2.569107115268707275e-01,4.069949313998222351e-02
-1.572769731283187866e-01,1.917503029108047485e-01
2.076388597488403320e-01,-2.367370426654815674e-01
1.668988019227981567e-01,-1.051428839564323425e-01
-1.022447794675827026e-01,6.446329504251480103e-02
9.058804064989089966e-02,2.800556421279907227e-01
-3.168199956417083740e-01,9.609529748558998108e-03
1.732817888259887695e-01,1.368766725063323975e-01
1.378606110811233521e-01,6.131420657038688660e-02
-4.086825847625732422e-01,1.949112117290496826e-01
1.535045951604843140e-01,-1.237774342298507690e-01
1.884716153144836426e-01,3.120409250259399414e-01
-5.032150745391845703e-01,-5.475773662328720093e-02
2.554964423179626465e-01,-1.262367665767669678e-01
-3.300673961639404297e-01,4.346417635679244995e-02
3.899601474404335022e-02,6.436028331518173218e-02
2.043551057577133179e-01,-2.129238098859786987e-01
1.579909026622772217e-01,3.191707134246826172e-01
1.958395838737487793e-01,3.059558570384979248e-01
-1.772987544536590576e-01,2.253572940826416016e-01
1.905331760644912720e-01,1.456042379140853882e-02
2.093243449926376343e-01,3.217399120330810547e-01
1.117986664175987244e-01,-1.876890063285827637e-01
-3.882297277450561523e-01,-1.825511157512664795e-01
1.656193882226943970e-01,4.352099001407623291e-01
1.143154352903366089e-01,2.163857668638229370e-01
2.898776438087224960e-03,-7.658734172582626343e-02
2.488856762647628784e-01,-1.783826202154159546e-01
-5.072802305221557617e-01,-9.803800284862518311e-02
-6.141279935836791992e-01,7.438835687935352325e-03
5.573825165629386902e-02,4.020022600889205933e-02
-1.908618509769439697e-01,4.426730051636695862e-02
1.105924770236015320e-01,4.110568761825561523e-01
6.750243157148361206e-02,3.949986100196838379e-01
-6.027232408523559570e-01,-8.096367865800857544e-02
-1.886786520481109619e-02,-5.544510204344987869e-03
1.723927110433578491e-01,-2.861013710498809814e-01
1.759395189583301544e-02,-9.234056621789932251e-02
-1.120518743991851807e-01,2.226576060056686401e-01
-2.343434654176235199e-02,-2.561475038528442383e-01
1.599797308444976807e-01,-1.113339215517044067e-01
1.433793157339096069e-01,3.291272819042205811e-01
1.615535765886306763e-01,-2.312706857919692993e-01
-1.143334060907363892e-01,8.330510556697845459e-02
-1.818533986806869507e-01,4.553094506263732910e-02
-1.092686727643013000e-01,-4.098941385746002197e-02
6.671617180109024048e-02,-8.289902657270431519e-02
3.139586448669433594e-01,8.751713484525680542e-02
2.930295281112194061e-02,8.723206818103790283e-02
1.179348677396774292e-02,3.394052684307098389e-01
8.445195853710174561e-02,1.655270457267761230e-01
5.965536087751388550e-02,-3.492196798324584961e-01
-1.611832976341247559e-01,9.350155293941497803e-02
2.229182869195938110e-01,3.251100480556488037e-01
-4.926809072494506836e-01,-4.678747057914733887e-02
-4.805845022201538086e-01,-3.676105663180351257e-02
-1.730743795633316040e-01,-7.482879329472780228e-03
6.608642637729644775e-02,-2.906104326248168945e-01
1.850320249795913696e-01,-1.698529720306396484e-01
-1.577903479337692261e-01,2.095821052789688110e-01
-3.401669263839721680e-01,-2.907984331250190735e-02
-2.147927731275558472e-01,1.685760170221328735e-02
1.849650293588638306e-01,3.629892766475677490e-01
1.412568241357803345e-01,3.672238588333129883e-01
1.397186219692230225e-01,-3.789938241243362427e-02
3.622043430805206299e-01,-2.948039174079895020e-01
2.840548157691955566e-01,1.905926316976547241e-01
1.836010441184043884e-02,-9.159154444932937622e-02
1.317544430494308472e-01,-2.713205218315124512e-01
-1.719953119754791260e-01,-6.483647972345352173e-02
-1.305914819240570068e-01,-2.621481381356716156e-02
-2.473733723163604736e-01,1.049745082855224609e-01
-2.439966201782226562e-01,-1.955073326826095581e-01
9.659016132354736328e-02,9.630069136619567871e-02
-3.006099164485931396e-01,-2.348683178424835205e-01
7.416239939630031586e-03,3.024834394454956055e-01
-6.352908676490187645e-04,2.645932734012603760e-01
9.822222404181957245e-03,1.868957877159118652e-01
