pc1,pc2
-2.974725663661956787e-01,6.048791483044624329e-02
-1.843049973249435425e-01,1.395020484924316406e-01
-2.468222826719284058e-01,-1.602947860956192017e-01
2.474555373191833496e-01,2.163288369774818420e-02
-2.463100478053092957e-02,1.737743169069290161e-01
-1.741756349802017212e-01,-3.079684376716613770e-01
3.068217635154724121e-01,1.957642287015914917e-02
4.914657771587371826e-02,1.427504718303680420e-01
2.953244149684906006e-01,-1.003492400050163269e-01
-2.145077139139175415e-01,8.593807369470596313e-02
-1.961375623941421509e-01,5.786424130201339722e-02
2.226035594940185547e-01,-4.644288867712020874e-02
-1.273263394832611084e-01,2.540634870529174805e-01
-1.863020062446594238e-01,1.803320348262786865e-01
-2.634179592132568359e-01,8.460714668035507202e-02
1.921885609626770020e-01,1.674137078225612640e-02
-1.334588378667831421e-01,5.505937710404396057e-02
-1.851245015859603882e-01,1.997507363557815552e-02
2.033602446317672729e-01,-6.161040067672729492e-02
-2.028803527355194092e-01,2.000395506620407104e-01
-1.506977975368499756e-01,1.403498947620391846e-01
-5.073923245072364807e-02,-3.508612513542175293e-02
-3.948964551091194153e-02,-3.098901808261871338e-01
3.089800179004669189e-01,1.345116179436445236e-02
-1.500112861394882202e-01,8.888378739356994629e-02
-1.589297354221343994e-01,-2.657311409711837769e-02
4.216515719890594482e-01,-2.053475081920623779e-01
-5.113744735717773438e-02,-4.704950377345085144e-03
-1.947613805532455444e-01,-2.475418597459793091e-01
5.354178547859191895e-01,1.274091657251119614e-02
-2.233203351497650146e-01,1.857596449553966522e-02
4.481289088726043701e-01,-4.234357550740242004e-02
-2.636236883699893951e-02,-5.159787461161613464e-02
-1.974336355924606323e-01,1.851770728826522827e-01
-1.463652998208999634e-01,-3.588264286518096924e-01
-1.541961282491683960e-01,-3.183717727661132812e-01
2.524044215679168701e-01,-2.413326129317283630e-02
-2.040981799364089966e-01,4.004291072487831116e-02
-2.342842221260070801e-01,-3.998088538646697998e-01
-1.152719035744667053e-01,2.496468424797058105e-01
3.775399029254913330e-01,6.624303758144378662e-02
-1.090946123003959656e-01,-4.494914710521697998e-01
-1.173671614378690720e-02,-1.082163155078887939e-01
-1.299006938934326172e-01,1.573490202426910400e-01
-2.815177738666534424e-01,2.046512514352798462e-01
4.768520593643188477e-01,5.323065817356109619e-02
6.055608391761779785e-01,-3.966568410396575928e-02
-1.719807833433151245e-01,-3.388660028576850891e-02
1.035141944885253906e-01,-7.515982538461685181e-02
-1.636913716793060303e-01,-3.732180297374725342e-01
-5.430794507265090942e-02,-3.584299385547637939e-01
5.024634003639221191e-01,7.599379867315292358e-02
4.169967770576477051e-02,5.432927981019020081e-02
-1.741686016321182251e-01,1.337657868862152100e-01
-2.395388111472129822e-02,5.848780274391174316e-02
2.656978964805603027e-01,-1.439651995897293091e-01
-1.625312492251396179e-02,1.377178877592086792e-01
-1.431739926338195801e-01,1.876529455184936523e-01
-6.024474278092384338e-04,-4.085139930248260498e-01
-1.552381366491317749e-01,2.603130638599395752e-01
-7.082346826791763306e-02,-2.503831088542938232e-01
1.320680677890777588e-01,2.296813018620014191e-02
8.552898466587066650e-02,1.225899979472160339e-01
-1.542666554450988770e-01,2.748542651534080505e-02
-3.658151924610137939e-01,-2.457218803465366364e-02
-3.931910917162895203e-02,-1.576964929699897766e-02
-4.782617092132568359e-02,-4.023560583591461182e-01
-2.239615917205810547e-01,-1.542389690876007080e-01
-4.527082294225692749e-02,2.441505789756774902e-01
1.119721159338951111e-01,-5.833685025572776794e-02
-2.843226492404937744e-01,-2.999877631664276123e-01
4.862978160381317139e-01,2.190216258168220520e-02
4.376291632652282715e-01,8.841865509748458862e-02
1.697513163089752197e-01,-3.363951668143272400e-02
-1.167565733194351196e-01,3.593351840972900391e-01
-1.076521500945091248e-01,8.579142391681671143e-02
1.251886934041976929e-01,-1.124404147267341614e-01
4.089481234550476074e-01,-4.058033600449562073e-02
3.329881429672241211e-01,-7.380530983209609985e-02
-1.622968763113021851e-01,-3.897413313388824463e-01
-1.222910135984420776e-01,-2.958705127239227295e-01
-3.400515019893646240e-02,8.175129443407058716e-02
-2.994005382061004639e-01,2.723044157028198242e-01
-2.425057142972946167e-01,-2.580600678920745850e-01
8.327174931764602661e-02,2.655030786991119385e-02
-1.048619076609611511e-01,2.145713567733764648e-01
9.627633541822433472e-02,1.423968672752380371e-01
2.073804140090942383e-01,-7.310936599969863892e-02
1.222388520836830139e-01,-1.490504592657089233e-01
2.324624061584472656e-01,1.219173520803451538e-01
-1.340181976556777954e-01,-5.949573591351509094e-02
2.445943057537078857e-01,8.801438659429550171e-02
-1.244616284966468811e-01,-2.257536500692367554e-01
7.311936467885971069e-02,-2.773052453994750977e-01
2.292631007730960846e-02,-9.398827701807022095e-02
3.421906381845474243e-02,-1.202504783868789673e-01
6.425638198852539062e-01,7.958550751209259033e-02
1.527671609073877335e-02,5.095929652452468872e-02
-1.361183375120162964e-01,-4.867892712354660034e-02
3.919630870223045349e-02,1.825960874557495117e-01
-3.258746564388275146e-01,1.762241572141647339e-01
-4.291796311736106873e-02,2.173806130886077881e-01
-2.009105831384658813e-01,1.555483341217041016e-01
-1.856689453125000000e-01,8.951596170663833618e-02
-3.398200273513793945e-01,1.120343804359436035e-01
-2.555832266807556152e-01,5.931899324059486389e-02
-2.301048301160335541e-02,2.279655337333679199e-01
4.654168188571929932e-01,1.023329347372055054e-01
-2.326820194721221924e-01,1.031987741589546204e-01
-1.664524078369140625e-01,1.815382987260818481e-01
1.030072718858718872e-01,-3.232020884752273560e-02
-1.854550540447235107e-01,3.141924738883972168e-01
6.533586978912353516e-02,1.437475085258483887e-01
-1.182611882686614990e-01,-1.606141589581966400e-02
-3.125599026679992676e-01,1.194812357425689697e-01
-2.400782257318496704e-01,-2.522176802158355713e-01
1.896873265504837036e-01,-5.016678571701049805e-02
-2.173381745815277100e-01,7.052915543317794800e-02
-2.404887378215789795e-01,9.187682718038558960e-02
-1.605942100286483765e-01,5.811684206128120422e-02
-1.496140807867050171e-01,2.005907744169235229e-01
-1.862828135490417480e-01,1.052266173064708710e-02
-6.057882681488990784e-03,-3.060310184955596924e-01
-1.578270047903060913e-01,-3.063006699085235596e-01
-2.819672822952270508e-01,-1.114890053868293762e-01
-9.368073195219039917e-02,1.462249755859375000e-01
-1.287781447172164917e-01,2.323905825614929199e-01
-8.656912297010421753e-02,1.943723112344741821e-01
1.139585226774215698e-01,-9.438832849264144897e-02
3.351966664195060730e-02,-1.009557992219924927e-01
-1.543787717819213867e-01,-3.612227141857147217e-01
-1.555064916610717773e-01,2.171253412961959839e-01
1.675367653369903564e-01,3.783304616808891296e-02
-1.650032401084899902e-01,-3.365347683429718018e-01
2.084390958771109581e-03,1.893766671419143677e-01
5.178753733634948730e-01,3.579904139041900635e-02
3.505882322788238525e-01,-1.376822888851165771e-01
3.674301784485578537e-03,-2.792164981365203857e-01
1.809031218290328979e-01,-4.139024764299392700e-02
2.094751000404357910e-01,-4.352035373449325562e-02
-2.217576652765274048e-01,2.592324912548065186e-01
2.874565124511718750e-01,-3.341768868267536163e-03
-1.935157924890518188e-01,1.281657367944717407e-01
-2.308089286088943481e-02,4.705812782049179077e-02
-2.687448561191558838e-01,2.384631149470806122e-02
-1.366543769836425781e-01,1.149175539612770081e-01
2.832819223403930664e-01,-1.089423242956399918e-02
-1.875406950712203979e-01,-7.692757248878479004e-02
-1.556863188743591309e-01,-3.173437416553497314e-01
-2.537676095962524414e-01,8.009606599807739258e-02
-1.318376809358596802e-01,-1.932279318571090698e-01
2.394596338272094727e-01,3.101806156337261200e-03
-1.791047453880310059e-01,6.819389015436172485e-02
-1.035431101918220520e-01,2.149079889059066772e-01
3.225394785404205322e-01,-1.726225577294826508e-02
1.092190966010093689e-01,2.294655442237854004e-01
-9.240593016147613525e-02,-2.402837621048092842e-03
-1.341817378997802734e-01,-3.918066024780273438e-01
-2.567933797836303711e-01,-2.715559303760528564e-01
1.856932938098907471e-01,-1.204798668622970581e-01
5.419638156890869141e-01,1.249800398945808411e-01
-1.403243094682693481e-01,1.269885450601577759e-01
1.115313917398452759e-02,8.391889929771423340e-02
4.569031894207000732e-01,1.331935375928878784e-01
-1.210712492465972900e-01,2.717013955116271973e-01
-2.007215619087219238e-01,8.279161155223846436e-02
-2.562536895275115967e-01,1.373641490936279297e-01
1.047297045588493347e-01,4.975908994674682617e-02
2.212877944111824036e-02,4.458065144717693329e-03
-6.114917993545532227e-02,4.495117068290710449e-02
1.323747485876083374e-01,-5.396953970193862915e-02
-1.336434781551361084e-01,-9.015098214149475098e-02
-9.314419329166412354e-02,7.936172932386398315e-02
-6.802719831466674805e-02,1.494738310575485229e-01
2.027225345373153687e-01,2.880305238068103790e-02
-2.086920738220214844e-01,2.776190638542175293e-01
-1.339519172906875610e-01,6.676559150218963623e-02
2.226416766643524170e-01,1.836822032928466797e-01
-2.042259722948074341e-01,7.492066174745559692e-02
-2.362542152404785156e-01,1.978515982627868652e-01
-1.198621839284896851e-01,1.298127472400665283e-01
-2.122585177421569824e-01,-2.894610762596130371e-01
2.562588453292846680e-01,-7.730110734701156616e-02
3.688573539257049561e-01,-9.851449728012084961e-02
6.334300041198730469e-01,-7.432849705219268799e-02
4.065882265567779541e-01,-9.488067775964736938e-02
2.834450602531433105e-01,2.739488519728183746e-02
4.097628891468048096e-01,-8.948746323585510254e-02
4.459246397018432617e-01,-5.992636457085609436e-02
4.583719670772552490e-01,1.376232597976922989e-02
1.738870292901992798e-01,-4.305646941065788269e-02
1.528716981410980225e-01,1.845691055059432983e-01
2.497424930334091187e-01,-2.311349213123321533e-01
-1.419051736593246460e-01,1.178610995411872864e-01
-1.663894951343536377e-01,-4.635146558284759521e-01
-2.491373866796493530e-01,1.175770312547683716e-01
1.852442473173141479e-01,-7.424168288707733154e-02
-4.292742908000946045e-02,-3.417961597442626953e-01
-9.104678779840469360e-02,2.300315499305725098e-01
2.649988830089569092e-01,1.945339702069759369e-02
-1.727447360754013062e-01,2.741991579532623291e-01
-1.874016076326370239e-01,1.556965261697769165e-01
3.697908520698547363e-01,-3.009675070643424988e-02
-2.255789935588836670e-01,-1.634819805622100830e-01
-1.059292182326316833e-01,-2.698553726077079773e-02
4.767867624759674072e-01,-3.256235644221305847e-02
-1.990632861852645874e-01,1.915694773197174072e-01
-2.036177664995193481e-01,-2.328960448503494263e-01
-1.843237131834030151e-01,2.368531823158264160e-01
1.734185405075550079e-02,1.089699938893318176e-01
-3.098772466182708740e-01,-2.111980468034744263e-01
-1.290782447904348373e-02,-3.032816015183925629e-02
3.002907335758209229e-01,1.849475055932998657e-01
-1.777001768350601196e-01,3.279930353164672852e-01
-2.094087898731231689e-01,1.996428817510604858e-01
-2.990567386150360107e-01,-3.194624185562133789e-02
-6.341136991977691650e-02,2.665384113788604736e-01
-2.748407423496246338e-01,9.523606859147548676e-03
-2.181992977857589722e-01,-3.102267086505889893e-01
-1.961781233549118042e-01,1.802094578742980957e-01
1.500248759984970093e-01,-5.212570726871490479e-02
-1.521144658327102661e-01,-3.316377103328704834e-01
1.471436321735382080e-01,6.735989451408386230e-02
1.395332217216491699e-01,-6.998226745054125786e-04
9.669838845729827881e-02,-6.276630796492099762e-03
-2.290125489234924316e-01,-1.309783905744552612e-01
-2.640724778175354004e-01,6.310907006263732910e-02
3.531882166862487793e-01,1.851260103285312653e-02
3.624965846538543701e-01,-4.081694409251213074e-02
-9.431379288434982300e-02,-4.875911027193069458e-02
-2.730028033256530762e-01,-3.106775879859924316e-01
-2.798139452934265137e-01,1.849576830863952637e-01
-1.272261142730712891e-01,-5.214238911867141724e-02
-4.128399118781089783e-02,2.446884065866470337e-01
-4.096953943371772766e-02,2.488578706979751587e-01
6.115560531616210938e-01,1.049771010875701904e-01
-1.572930514812469482e-01,5.003440007567405701e-02
-2.910931706428527832e-01,7.233913987874984741e-02
1.670570522546768188e-01,-2.936569973826408386e-02
-1.565158367156982422e-01,8.340093493461608887e-02
-1.773331910371780396e-01,8.016433566808700562e-02
5.359650254249572754e-01,9.837672114372253418e-02
5.308589339256286621e-01,1.375334411859512329e-01
2.578226625919342041e-01,-1.056226864457130432e-01
-4.788096249103546143e-02,-3.232912421226501465e-01
-2.131701111793518066e-01,3.897898644208908081e-02
-2.399261593818664551e-01,-3.040470778942108154e-01
-1.960238963365554810e-01,-2.783050835132598877e-01
5.475215315818786621e-01,6.088390201330184937e-02
