pc1,pc2
2.324956059455871582e-01,-8.192401379346847534e-02
2.093065083026885986e-01,-1.419027000665664673e-01
1.587494164705276489e-01,5.239440500736236572e-02
-1.929964423179626465e-01,-4.151657596230506897e-02
-7.050815969705581665e-02,-9.937676042318344116e-02
8.678427338600158691e-02,2.162602841854095459e-01
-2.217474430799484253e-01,5.819105729460716248e-02
-4.867653176188468933e-02,-9.337421506643295288e-02
-3.393047153949737549e-01,1.176262721419334412e-01
-6.545155309140682220e-03,-1.191323623061180115e-02
1.740052849054336548e-01,-9.464698284864425659e-02
-1.221460402011871338e-01,1.265485435724258423e-01
7.132337987422943115e-02,-1.118652299046516418e-01
1.238989830017089844e-01,-1.723970919847488403e-01
2.411987781524658203e-01,-1.287167817354202271e-01
-1.294443905353546143e-01,3.511913819238543510e-03
1.220275983214378357e-01,-9.292603284120559692e-02
2.136708050966262817e-01,8.023215085268020630e-02
-2.247459143400192261e-01,7.639797031879425049e-02
1.852584928274154663e-01,-2.115857303142547607e-01
1.458285897970199585e-01,4.579031467437744141e-02
-1.173065081238746643e-01,2.762055993080139160e-01
3.731360659003257751e-02,1.524164378643035889e-01
-1.615775227546691895e-01,7.540904730558395386e-02
1.223992854356765747e-01,4.824225977063179016e-02
1.817508228123188019e-02,1.259580999612808228e-01
-2.962930202484130859e-01,1.084822267293930054e-01
1.817164123058319092e-01,-2.813899330794811249e-02
9.624737501144409180e-02,1.877925097942352295e-01
-4.341915249824523926e-01,-9.143495559692382812e-02
1.438368707895278931e-01,-2.424591034650802612e-02
-1.810757517814636230e-01,4.310258477926254272e-02
-2.599362842738628387e-02,1.127681434154510498e-01
1.821271926164627075e-01,-8.718730509281158447e-02
-3.833694010972976685e-02,1.681654304265975952e-01
1.409242898225784302e-01,2.885426580905914307e-01
-2.211576402187347412e-01,1.151413023471832275e-01
1.589859575033187866e-01,3.180000558495521545e-02
6.972121447324752808e-02,2.214580178260803223e-01
5.985505506396293640e-02,-1.062026172876358032e-01
-2.450890392065048218e-01,-6.841327250003814697e-02
8.935297280550003052e-02,2.280931621789932251e-01
2.190653234720230103e-01,1.247109398245811462e-01
-2.024894393980503082e-02,-4.523821920156478882e-02
2.054743766784667969e-01,-9.123394638299942017e-02
-3.794403672218322754e-01,-1.281197071075439453e-01
-3.789431452751159668e-01,-2.422693558037281036e-02
7.476647943258285522e-02,8.469157665967941284e-02
-1.361946165561676025e-01,-3.330267220735549927e-02
1.610478609800338745e-01,2.835866808891296387e-01
1.081341803073883057e-01,1.829449981451034546e-01
-3.497857451438903809e-01,-1.028889045119285583e-01
-7.796436548233032227e-02,1.031085178256034851e-01
1.164820939302444458e-01,-1.322831213474273682e-01
-2.473372593522071838e-02,-9.936450980603694916e-03
-2.046491652727127075e-01,5.026159435510635376e-02
9.447869658470153809e-02,-1.320918798446655273e-01
2.262718603014945984e-02,-9.224282205104827881e-02
-8.064391463994979858e-02,1.657516062259674072e-01
1.438490003347396851e-01,-2.447835952043533325e-01
2.331162802875041962e-02,6.128314882516860962e-02
-2.351753115653991699e-01,5.070635303854942322e-02
-1.553647220134735107e-01,-2.236517146229743958e-02
-1.754290610551834106e-02,7.650272548198699951e-02
2.068055868148803711e-01,1.745897158980369568e-02
-8.962439373135566711e-03,1.492381095886230469e-01
-4.060881212353706360e-02,2.793990075588226318e-01
1.295955032110214233e-01,1.148632764816284180e-01
1.194185465574264526e-01,-2.055133283138275146e-01
-9.537697583436965942e-02,-9.847694635391235352e-02
1.684198081493377686e-01,1.802555918693542480e-01
-3.257941901683807373e-01,-7.575013488531112671e-02
-2.452705353498458862e-01,-1.925680041313171387e-01
-5.662833526730537415e-02,4.294914752244949341e-02
1.850211322307586670e-01,-1.942405700683593750e-01
3.726841881871223450e-02,-1.736972630023956299e-01
-2.514894306659698486e-01,5.487007647752761841e-02
-2.787732779979705811e-01,-6.261318922042846680e-02
-1.630600243806838989e-01,-4.067896306514739990e-02
2.404030412435531616e-02,3.320126533508300781e-01
7.221819460391998291e-02,2.938482463359832764e-01
1.358516514301300049e-01,-5.720118060708045959e-02
2.754256129264831543e-01,-1.528358012437820435e-01
1.270262449979782104e-01,2.216522395610809326e-01
2.114614471793174744e-02,-1.230124682188034058e-01
1.379201710224151611e-01,-2.481272220611572266e-01
3.613325580954551697e-02,-8.333848416805267334e-02
-2.455478608608245850e-01,5.423940718173980713e-02
-2.031500637531280518e-01,3.498258814215660095e-02
-9.300021454691886902e-03,6.441555917263031006e-02
1.017203275114297867e-02,2.725360095500946045e-01
-2.804779112339019775e-01,-1.464222669601440430e-01
9.202802926301956177e-02,2.780001461505889893e-01
1.773533038794994354e-02,2.226624041795730591e-01
-1.325064003467559814e-01,1.336082816123962402e-01
-5.436971411108970642e-02,8.881345391273498535e-02
-3.610905706882476807e-01,-3.857098147273063660e-02
-1.484985556453466415e-02,-1.746331900358200073e-01
-3.023220598697662354e-02,2.289851456880569458e-01
1.196292228996753693e-02,-1.174992546439170837e-01
2.639736235141754150e-01,-2.076151780784130096e-02
-4.278417304158210754e-02,-1.957887560129165649e-01
1.708441972732543945e-01,-1.257094591856002808e-01
1.295239329338073730e-01,-8.087883144617080688e-02
2.493150979280471802e-01,-1.856049448251724243e-01
2.280027866363525391e-01,-7.298991084098815918e-02
1.068099867552518845e-02,-1.999011933803558350e-01
-2.967884242534637451e-01,-1.146633028984069824e-01
1.264043450355529785e-01,-9.211062639951705933e-02
1.326054632663726807e-01,-1.845585107803344727e-01
-1.559037417173385620e-01,1.003590077161788940e-01
1.706797480583190918e-01,-1.892607510089874268e-01
-5.607238784432411194e-02,-1.045777276158332825e-01
1.645114123821258545e-01,-2.990177646279335022e-02
2.247953861951828003e-01,-1.168163642287254333e-01
1.539865881204605103e-01,1.323674023151397705e-01
4.171868041157722473e-02,4.097490757703781128e-02
1.136215478181838989e-01,-4.017651826143264771e-02
2.242406606674194336e-01,4.135061521083116531e-03
1.019060015678405762e-01,3.414186090230941772e-02
6.070169433951377869e-02,-1.803209483623504639e-01
1.467770636081695557e-01,1.183126494288444519e-02
-9.701976180076599121e-02,1.393901407718658447e-01
1.252952516078948975e-01,2.644769251346588135e-01
2.400740981101989746e-01,8.908788114786148071e-02
3.546656295657157898e-02,-1.238250732421875000e-01
4.426248371601104736e-02,-2.497417330741882324e-01
1.539706066250801086e-02,-1.356049478054046631e-01
-1.353811770677566528e-01,2.566300332546234131e-03
-3.962840139865875244e-02,1.345348805189132690e-01
8.818971365690231323e-02,1.823047250509262085e-01
1.161845326423645020e-01,-8.419061079621315002e-03
1.401138585060834885e-02,-6.104602292180061340e-02
