pc1,pc2
-2.721637462021441189e-01,-2.644332105136573685e-02
-2.371861908987779877e-01,8.537753356611056665e-02
-1.852093946568915961e-01,-2.189550212020392739e-01
2.189085265124907920e-01,8.754061104870950946e-03
6.767184439357103176e-02,-2.169683041640640617e-02
-9.950528779784260924e-02,-2.256228484951699476e-01
2.641915799680020216e-01,-7.205296502336176745e-02
1.424240358427372559e-02,7.001155864314115296e-02
2.246308637543344700e-01,-4.107463318010356329e-02
-1.349201944568188538e-01,-2.351582240491548615e-03
-1.297411796587011612e-01,1.660783929938204062e-01
2.257754820794222184e-01,4.537100217796182638e-02
-8.654094420794816722e-02,1.613479597615575245e-01
-1.505793908458645802e-01,1.551075953638302307e-01
-1.730591271007950738e-01,1.561887314095022072e-01
2.040967558020085060e-01,-1.372678011238662697e-02
2.701123145956604854e-02,4.191447172944412491e-02
-1.542311797208963942e-01,-4.201467236840711501e-03
2.194562978278431775e-01,-6.905001933952166493e-02
-1.582330900216364356e-01,4.858735376316718896e-02
-2.144838222605813804e-01,-4.106113691731298060e-02
7.486441762886075768e-02,-1.148104012619354936e-01
-9.571955829710139529e-02,-2.047781898971968439e-01
2.468761703687144260e-01,1.353655280446171005e-01
-1.605058963056711918e-01,-3.707060844040269403e-03
-1.783010521975541551e-01,-2.113247712966764003e-01
2.709376280494060762e-01,-6.058064518328010878e-02
-1.918271568705502417e-01,5.340387108430084268e-02
-1.515681026531176534e-01,-1.218229869117198327e-01
3.702898948881638286e-01,-1.942315479973875589e-02
-1.085036661097700111e-01,-2.828697766459535579e-02
3.072222052546217386e-01,-2.176107722783094528e-02
-3.219462924885942157e-02,4.514505595524770376e-02
-2.101329474130506636e-01,8.579472919874200909e-02
-1.778309897014198337e-01,-2.585058335056431567e-01
-3.229039568770824403e-02,-2.619633870250529517e-01
1.752341405763443438e-01,-1.095912894595802711e-01
-5.825519281022067258e-02,-5.700990361866410672e-02
-6.429844810906269748e-02,-2.682340013479354579e-01
-9.989062007293292300e-02,9.189674330427295701e-02
3.156372175779325051e-01,4.885923907827220691e-02
-1.203807106221014556e-01,-3.205861689233540646e-01
-1.426116353962128269e-01,-1.842260161279608566e-01
-9.220204406218815429e-02,6.944526959304558877e-03
-2.155852757615061011e-01,1.311622731865160763e-01
3.475809602081342264e-01,2.136701767797985763e-01
3.505318371240146447e-01,7.576926331898081735e-02
-7.878709026864583187e-02,-1.474499412446484969e-01
1.352948770046381310e-01,-1.631418896382826056e-01
-1.928414443804399303e-01,-2.425438934320390538e-01
-1.540578969360698880e-01,-2.464299608062018865e-01
2.993449064832176543e-01,9.034156424392052187e-02
1.191073159907304023e-02,-6.189718622894077593e-02
-1.275397589799205644e-01,2.199998832330503640e-01
2.426487584423159954e-02,1.937978554434147474e-02
2.939560021696061010e-01,2.419377235224640793e-02
8.335921538464778624e-02,1.223287369516894568e-01
-1.412339370145807294e-01,1.393411392512192426e-01
-9.098420699899775754e-02,-2.417082946456901582e-01
-1.088112174139949234e-01,1.327831545878072617e-01
-6.081482679180678919e-02,-1.337847795041152976e-01
2.684436251038073151e-01,-1.436810446283838805e-01
9.760068040731291472e-02,-7.549155237755847403e-02
-9.648271167182673885e-03,-1.040075653735004629e-01
-1.624795495856686811e-01,2.162345996311844029e-02
-9.526542504641244413e-02,-1.019546084984365719e-01
-7.340368018159695862e-02,-2.383905223833152898e-01
-1.084494303477787081e-01,-1.358983333125512727e-01
-4.186264600547202203e-02,1.819903035816912429e-01
-9.539468261741106125e-02,-1.692355793661507180e-01
-1.915472368170800521e-01,-8.318576536373317731e-02
2.704200801125697939e-01,1.020770289418596460e-01
2.223760496908850359e-01,2.428106276367195115e-01
1.476735420587326209e-01,-6.363892762832419961e-03
-1.441223647213359937e-01,2.346064621273843964e-01
-1.057092711972384275e-01,-4.601275093038269953e-02
1.200653711624272424e-01,-3.264687195350425286e-01
3.076957524833637825e-01,-1.156233392196120841e-01
1.741185111160428178e-01,-1.966000972441862005e-01
-5.281706542196662468e-02,-3.199766928913785335e-01
-4.826282974523022490e-02,-2.345415422778862335e-01
-2.131789569418115760e-01,1.103537540400829631e-01
-2.195170280974534371e-01,2.125161405778310808e-01
-1.578374076878337473e-01,-1.011756664651564386e-01
3.983034510900058944e-02,7.304439189087279238e-02
-1.408902840878980545e-01,2.110362990649387593e-01
5.362515145037537179e-02,8.967587941021881726e-02
2.200155502297004573e-01,-2.412221797096642320e-02
2.645265019420297015e-01,-1.802721262438485850e-01
1.595641735582121745e-01,9.685186501858444874e-02
-9.601906240685186000e-02,-1.593571516869900506e-01
2.664929385605712686e-01,1.672675097486667484e-01
-1.259086181764416945e-01,-2.577846769106437175e-01
-7.095323943729554828e-02,-2.233592227522505913e-01
8.319552157002331472e-02,-1.229523079584583373e-01
6.775739580184882149e-02,-2.078641787744280045e-01
3.244795665826640807e-01,1.172825498571232750e-01
-8.432695958660553492e-02,9.168771033012951266e-02
-4.240393775893570166e-02,-1.645142700121081936e-01
-1.023819617399846990e-02,2.199094744415439340e-01
-2.562579854057219220e-01,1.736576739755183452e-01
3.814011056390578108e-02,2.846857292922650995e-01
-1.373084849065044910e-01,1.630259794157404019e-01
-3.023102852774932348e-02,5.279111567952259054e-02
