pc1,pc2
-2.036786079406738281e-01,6.508364528417587280e-02
-9.292548149824142456e-02,8.692595362663269043e-02
-1.601149141788482666e-01,-9.560487419366836548e-02
1.036585792899131775e-01,1.379456277936697006e-02
2.682924456894397736e-02,-3.677319362759590149e-02
-1.045171692967414856e-01,-2.106215059757232666e-01
1.303913146257400513e-01,-1.199315041303634644e-01
-6.951771676540374756e-02,6.631986796855926514e-02
1.836663931608200073e-01,-1.227739304304122925e-01
-1.424693465232849121e-01,1.240946725010871887e-02
-1.385248005390167236e-01,6.009022518992424011e-02
1.044414937496185303e-01,-8.315386623144149780e-02
-1.017792597413063049e-01,1.508035659790039062e-01
-1.347277015447616577e-01,1.373652070760726929e-01
-1.533421128988265991e-01,5.536120757460594177e-02
6.111995875835418701e-02,-9.578019380569458008e-03
-8.426154404878616333e-02,3.411817550659179688e-02
-1.589393317699432373e-01,-1.249112281948328018e-02
9.651892632246017456e-02,-9.701833128929138184e-02
-1.088443100452423096e-01,5.011463165283203125e-02
-1.110416352748870850e-01,-6.448454689234495163e-03
-5.742679350078105927e-03,-1.068891435861587524e-01
-4.367155954241752625e-02,-1.771360933780670166e-01
7.959705591201782227e-02,-5.426624044775962830e-02
-7.644947618246078491e-02,-1.226394344121217728e-02
-6.803865730762481689e-02,-8.127687871456146240e-02
1.881836503744125366e-01,-1.697662323713302612e-01
-8.406727761030197144e-02,3.846812248229980469e-02
-9.215982258319854736e-02,-1.716722100973129272e-01
3.753508031368255615e-01,-6.921791937202215195e-03
-9.871673583984375000e-02,-4.464586824178695679e-02
2.712886333465576172e-01,4.552366584539413452e-02
1.036408916115760803e-01,-3.091793134808540344e-02
-1.428027302026748657e-01,6.995284557342529297e-02
-9.771444648504257202e-02,-2.823534607887268066e-01
-1.143802553415298462e-01,-1.524138152599334717e-01
1.585381925106048584e-01,-1.771571189165115356e-01
-9.472709149122238159e-02,-3.094649873673915863e-02
-8.631301671266555786e-02,-1.723358631134033203e-01
-1.242647618055343628e-01,1.253641396760940552e-01
3.491463661193847656e-01,1.208698451519012451e-01
-1.706581190228462219e-02,-1.809039413928985596e-01
-7.097528874874114990e-02,-1.468630433082580566e-01
-3.838820755481719971e-02,4.829981178045272827e-02
-1.624519377946853638e-01,1.046523600816726685e-01
3.738780021667480469e-01,1.770727634429931641e-01
3.880525231361389160e-01,9.989829361438751221e-02
